video_num,yt_title,yt_link
1,"Romantic Comedy Short Film ""House Sitters"" | CRAFTY",https://www.youtube.com/watch?v=XT8Uqmu0g0U
2,Charlie and Hope | Romantic Comedy Short Film,https://www.youtube.com/watch?v=gVd7nxopPlQ&t=563s
3,"""Just Around the Corner"" - Romantic Comedy Short Film",https://www.youtube.com/watch?v=KYiRYxliZcI&t=57s
4,Don't Think Twice | Rom-Com Short Film,https://www.youtube.com/watch?v=Mfa-rufufY4&t=2s
5,First Date - British Romantic Comedy Short Film | Full Movie | CKF International Film Festival UK,https://www.youtube.com/watch?v=9pVXLBiohTE
6,"Text Me - An Award-Winning Short Love Story starring Matt Bennett (""Victorious"", ""Bridesmaids"")",https://www.youtube.com/watch?v=k_d2Vxc6No8
